Check-In Date,Check-Out Date,Hotel Name,Price($),Rating,Number of Reviews
07-05-2019,08-05-2019,Hotel Pennsylvania,200,5.6/10,"40,753"
07-05-2019,08-05-2019,The Mansfield Hotel,215,7.6/10,765
07-05-2019,08-05-2019,Days Hotel by Wyndham on Broadway NYC,194,6.6/10,"4,984"
07-05-2019,08-05-2019,Holiday Inn Manhattan Financial District,499,8.2/10,"2,441"
07-05-2019,08-05-2019,Millennium Hilton New York One UN Plaza,459,8.4/10,"3,957"
07-05-2019,08-05-2019,Hyatt Place New York/Midtown-South,359,8.6/10,"3,639"
07-05-2019,08-05-2019,DoubleTree by Hilton - Chelsea,360,7.8/10,"1,269"
07-05-2019,08-05-2019,"Distrikt Hotel New York City, Tapestry Collection by Hilton",379,8.2/10,"1,482"
07-05-2019,08-05-2019,Best Western Bowery Hanbee Hotel,324,8.2/10,"1,098"
07-05-2019,08-05-2019,La Quinta by Wyndham New York City Central Park,169,7.6/10,"3,414"
07-05-2019,08-05-2019,Leon Hotel,799,8.3/10,"1,495"
07-05-2019,08-05-2019,The Roosevelt Hotel,245,7.1/10,"1,313"
07-05-2019,08-05-2019,Econo Lodge Times Square,349,7.3/10,673
07-05-2019,08-05-2019,Hampton Inn Manhattan/Downtown- Financial District,459,8.3/10,776
07-05-2019,08-05-2019,The GEM Hotel - Chelsea,319,7.7/10,"1,728"
07-05-2019,08-05-2019,Pod Times Square,249,8.6/10,"11,258"
07-05-2019,08-05-2019,The Maxwell New York City,459,7.9/10,"1,189"
07-05-2019,08-05-2019,DoubleTree by Hilton Metropolitan New York City,389,7.7/10,"3,488"
07-05-2019,08-05-2019,"Nyma, The New York Manhattan Hotel",299,7.5/10,"2,435"
07-05-2019,08-05-2019,"Hudson New York, Central Park",299,7.1/10,"11,711"
07-05-2019,08-05-2019,Hotel Mela Times Square,279,7.9/10,"1,226"
07-05-2019,08-05-2019,"Night Hotel Theater District, Times Square",439,7.9/10,582
07-05-2019,08-05-2019,Moxy NYC Downtown,689,8.8/10,377
07-05-2019,08-05-2019,Redford Hotel,269,6.7/10,341
07-05-2019,08-05-2019,Comfort Inn Times Square West,309,8.1/10,641
07-05-2019,08-05-2019,Hotel St. James,289,8.1/10,870
07-05-2019,08-05-2019,The Hotel @ New York City,369,7.7/10,"3,897"
07-05-2019,08-05-2019,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,521,8.8/10,"1,543"
