Check-In Date,Check-Out Date,Hotel Name,Price($),Rating,Number of Reviews
07-05-2019,08-05-2019,Crowne Plaza JFK Airport New York City,$249,3.7/5,"1,176"
07-05-2019,08-05-2019,LaGuardia Plaza Hotel,$199,4.0/5,"2,034"
07-05-2019,08-05-2019,ibis Styles New York LaGuardia Airport,$159,4.3/5,940
07-05-2019,08-05-2019,Comfort Inn LaGuardia Airport - 83rd St,$170,3.7/5,"1,150"
07-05-2019,08-05-2019,Aloft New York LaGuardia Airport,$219,3.5/5,"2,094"
07-05-2019,08-05-2019,Marco LaGuardia Hotel,$139,4.1/5,939
07-05-2019,08-05-2019,Crowne Plaza Times Square Manhattan,$285,4.2/5,"9,383"
07-05-2019,08-05-2019,Hampton Inn New York - LaGuardia Airport,$246,4.2/5,"1,251"
07-05-2019,08-05-2019,Asiatic Hotel by LaGuardia Airport,$137,3.9/5,883
07-05-2019,08-05-2019,John Hotel,$139,4.1/5,584
07-05-2019,08-05-2019,The Parc Hotel,$139,3.9/5,900
07-05-2019,08-05-2019,Hyatt Place Flushing/LaGuardia Airport,$299,4.2/5,800
07-05-2019,08-05-2019,SpringHill Suites by Marriott New York LaGuardia Airport,$239,4.5/5,308
07-05-2019,08-05-2019,Grandview Hotel New York,$130,4.2/5,295
07-05-2019,08-05-2019,Ramada by Wyndham Flushing Queens,$140,3.6/5,746
07-05-2019,08-05-2019,Holiday Inn LaGuardia Airport,$199,3.8/5,"1,047"
07-05-2019,08-05-2019,Prince Flushing Hotel,$125,3.5/5,361
07-05-2019,08-05-2019,Flushing Central Hotel,$125,3.6/5,447
07-05-2019,08-05-2019,The Paper Factory Hotel,$169,4.2/5,"1,525"
07-05-2019,08-05-2019,Wyndham Garden LaGuardia South,$199,4.2/5,569
07-05-2019,08-05-2019,The One Boutique Hotel,$149,3.6/5,320
07-05-2019,08-05-2019,Holiday Inn Express Laguardia Airport,$139,3.9/5,878
07-05-2019,08-05-2019,The Boro Hotel,$209,4.2/5,728
07-05-2019,08-05-2019,Opera House Hotel,$125,4.5/5,"2,070"
07-05-2019,08-05-2019,Hotel Nirvana,$130,3.8/5,212
07-05-2019,08-05-2019,Crowne Plaza HY36 Midtown Manhattan,$419,4.5/5,700
07-05-2019,08-05-2019,The Surrey,$655,4.6/5,960
07-05-2019,08-05-2019,Comfort Inn & Suites LaGuardia Airport,$180,3.9/5,742
07-05-2019,08-05-2019,Lic Plaza Hotel,$159,4.3/5,8
07-05-2019,08-05-2019,The Park Ave North,$94,3.8/5,312
07-05-2019,08-05-2019,Comfort Inn & Suites near Stadium,$134,4.3/5,367
07-05-2019,08-05-2019,Feather Factory,$108,4.1/5,418
07-05-2019,08-05-2019,Z NYC Hotel,$231,4.0/5,"2,199"
07-05-2019,08-05-2019,"The Vue Hotel, an Ascend Hotel Collection Member",$169,4.3/5,322
07-05-2019,08-05-2019,Giorgio Hotel,$39,3.9/5,371
07-05-2019,08-05-2019,Howard Johnson by Wyndham Long Island City,$153,3.5/5,"1,218"
07-05-2019,08-05-2019,Microtel Inn by Wyndham Long Island City,$144,4.2/5,57
07-05-2019,08-05-2019,Voyage Hotel,$140,3.8/5,96
07-05-2019,08-05-2019,Quality Inn,$150,3.9/5,511
07-05-2019,08-05-2019,The Franklin Hotel,$260,3.8/5,"1,708"
07-05-2019,08-05-2019,The Marmara Manhattan,$319,4.2/5,804
